Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
92,OceanReef PS,859.387500,split,814.387500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Ocean Reef Public Safety - Simulcast (Key Largo),,,,
93,KLWTD,152.960000,split,159.562500,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Key Largo Wastewater Treatment District,,,,
94,Toppino Cons,157.560000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Toppino Construction (Key West),,,,
95,Marathon Air,151.715000,,0.600000,TSQL,123.0,123.0,023,NN,023,Tone->Tone,NFM,5.00,,50W,Marathon Air Conditioning,,,,
96,Fiesta Key,466.137500,,0.600000,DTCS,88.5,88.5,532,NN,532,Tone->Tone,NFM,5.00,,50W,Fiesta Key RV Resort and Marina (MM 70),,,,
97,Towboat US,463.225000,split,468.225000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Towboat US [Ch. 16 Simulcast] (Key Largo),,,,
98,KeyLargo Anglers,151.805000,split,158.145000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Key Largo Anglers Club,,,,
99,IslamoradaFish A,461.550000,,0.600000,DTCS,88.5,88.5,032,NN,032,Tone->Tone,NFM,5.00,,50W,Islamorada Fish Company,,,,
100,IslamoradaFish B,468.550000,,0.600000,DTCS,88.5,88.5,032,NN,032,Tone->Tone,NFM,5.00,,50W,Islamorada Fish Company,,,,
101,Majesty 1,467.800000,split,457.550000,TSQL,71.9,71.9,023,NN,023,Tone->Tone,FM,5.00,,50W,Royal Caribbean - Majesty of the Seas (Key West Port),,,,
102,LKMC Security,464.475000,split,469.475000,DTCS,88.5,88.5,134,NN,134,Tone->Tone,NFM,5.00,,50W,Lower Keys Medical Center,,,,
103,LKMC Ops,462.962500,split,467.962500,DTCS,88.5,88.5,047,NN,047,Tone->Tone,NFM,5.00,,50W,Lower Keys Medical Center,,,,
104,Mariners Hosp,462.475000,split,467.475000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Mariners Hospital,,,,
105,Fishermens Hosp,462.475000,split,467.475000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,Fishermen's Hospital,,,,
106,Boat House,151.835000,,0.600000,DTCS,88.5,88.5,263,NN,263,Tone->Tone,NFM,5.00,,50W,The Boat House (Marathon),,,,
107,Mrthn CityMarina,156.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Marathon City Marina (Marine Ch. 14),,,,
108,Marathon Cruiser,156.425000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Marathon Cruiser's Net (Marine Ch. 68),,,,
109,Marathon Marina,156.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Marathon Marina (Marine Ch. 10),,,,
110,Faro Blanco YC,156.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Faro Blanco Yacht Club (Marine Ch. 9),,,,
111,Captain Pips,156.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Captain Pip's Marina (Marine Ch. 12),,,,
112,MarlinBay Marina,156.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Marlin Bay Marina (Marine Ch. 17),,,,
113,Margville Marina,156.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Margaritaville Marina (Marine Ch. 9),,,,
114,NWS Key West,156.600000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,National Weather Service Key West Office (Marine Ch. 12),,,,
115,Galleon Marina,156.850000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,5.00,,50W,Galleon Marina (Marine Ch. 17),,,,
116,CTAF/Unicom,122.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Common Traffic Advisory Frequency/Unicom,,,,
117,AWOS,135.525000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Automated Weather Observing System,,,,
118,Marathon JC,130.550000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Marathon Jet Center,,,,
119,Paradise Avi,131.450000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,AM,5.00,,50W,Paradise Aviation,,,,
120,Line Crews,154.570000,,0.600000,TSQL,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,Line Crews,,,,
